set,name,s1,v1,s2,v2,t,tv,category
개척,개척자 방어구 · I,힘,87,민첩,58,배틀 스킬 피해 보너스,20.7%,방어구
개척,개척자 방어구,힘,87,지능,58,궁극기 피해 보너스,25.9%,방어구
본 크러셔,본 크러셔 조각상 · II,의지,32,지능,21,배틀 스킬 피해 보너스,41.4%,부품
본 크러셔,본 크러셔 조각상 · I,의지,32,지능,21,연계 스킬 피해 보너스,41.4%,부품
본 크러셔,본 크러셔 조각상,의지,32,민첩,21,배틀 스킬 피해 보너스,41.4%,부품
본 크러셔,본 크러셔 마스크 · II,민첩,32,힘,21,배틀 스킬 피해 보너스,41.4%,부품
본 크러셔,본 크러셔 마스크 · I,민첩,32,힘,21,치명타 확률,10.4%,부품
본 크러셔,본 크러셔 마스크,민첩,32,힘,21,불균형 목표에 주는 피해 보너스,41.4%,부품
본 크러셔,본 크러셔 장갑,의지,65,민첩,43,냉기와 전기 피해 보너스,19.2%,보호 장갑
본 크러셔,본 크러셔 장갑(손목) · I,민첩,65,힘,43,냉기와 전기 피해 보너스,19.2%,보호 장갑
본 크러셔,본 크러셔 장갑(손목),힘,65,민첩,43,열기와 자연 피해 보너스,19.2%,보호 장갑
본 크러셔,본 크러셔 머플러 · I,의지,87,민첩,58,궁극기 충전 효율,12.3%,방어구
본 크러셔,본 크러셔 머플러,의지,87,힘,58,연계 스킬 피해 보너스,20.7%,방어구
본 크러셔,본 크러셔 중갑 방어구 · II,민첩,87,힘,58,냉기와 전기 피해 보너스,11.5%,방어구
본 크러셔,본 크러셔 중갑 방어구 · I,민첩,87,힘,58,연계 스킬 피해 보너스,20.7%,방어구
본 크러셔,본 크러셔 중갑 방어구,민첩,87,지능,58,궁극기 충전 효율,12.3%,방어구
검술사,검술사 초소형 필터,힘,32,의지,21,물리 피해 보너스,23.0%,부품
검술사,검술사 위치 신호기,힘,41,-,-,오리지늄 아츠 강도,41,부품
검술사,검술사 단검,민첩,32,힘,21,궁극기 피해 보너스,51.8%,부품
검술사,검술사 부싯돌,민첩,32,힘,21,물리 피해 보너스,23.0%,부품
검술사,검술사 전술 금속 장갑 · I,힘,65,의지,43,오리지늄 아츠 강도,34,보호 장갑
검술사,검술사 전술 금속 장갑,민첩,65,힘,43,궁극기 피해 보너스,43.1%,보호 장갑
검술사,검술사 전술 장갑,힘,65,의지,43,물리 피해 보너스,19.2%,보호 장갑
검술사,검술사 경장갑,힘,87,의지,58,궁극기 충전 효율,12.3%,방어구
검술사,검술사 중장갑 · I,민첩,87,힘,58,물리 피해 보너스,11.5%,방어구
검술사,검술사 중장갑,민첩,87,힘,58,오리지늄 아츠 강도,20,방어구
응룡 50식,응룡 50식 탐지기 · II,민첩,32,지능,21,연계 스킬 피해 보너스,41.4%,부품
응룡 50식,응룡 50식 탐지기 · I,민첩,32,힘,21,궁극기 피해 보너스,51.8%,부품
응룡 50식,응룡 50식 탐지기,힘,32,의지,21,물리 피해 보너스,23.0%,부품
응룡 50식,응룡 50식 단검 · I,지능,32,힘,21,모든 스킬 피해 보너스,27.6%,부품
응룡 50식,응룡 50식 단검,의지,32,민첩,21,연계 스킬 피해 보너스,41.4%,부품
응룡 50식,응룡 50식 보호 장갑 · I,의지,65,민첩,43,연계 스킬 피해 보너스,34.5%,보호 장갑
응룡 50식,응룡 50식 보호 장갑,민첩,65,지능,43,연계 스킬 피해 보너스,34.5%,보호 장갑
응룡 50식,응룡 50식 경갑,의지,87,힘,58,모든 스킬 피해 보너스,13.8%,방어구
응룡 50식,응룡 50식 중갑 · II,민첩,87,지능,58,연계 스킬 피해 보너스,20.7%,방어구
응룡 50식,응룡 50식 중갑 · I,민첩,87,힘,58,궁극기 충전 효율,12.3%,방어구
응룡 50식,응룡 50식 중갑,힘,87,의지,58,물리 피해 보너스,11.5%,방어구
M. I. 경찰용,M. I. 경찰용 단검 · I,의지,32,민첩,21,배틀 스킬 피해 보너스,41.4%,부품
M. I. 경찰용,M. I. 경찰용 단검,의지,32,지능,21,열기와 자연 피해 보너스,23.0%,부품
M. I. 경찰용,M. I. 경찰용 다용도 공구,지능,32,민첩,21,치명타 확률,10.4%,부품
M. I. 경찰용,M. I. 경찰용 조준기 · I,민첩,32,지능,21,치명타 확률,10.4%,부품
M. I. 경찰용,M. I. 경찰용 조준기,민첩,32,힘,21,배틀 스킬 피해 보너스,41.4%,부품
M. I. 경찰용,M. I. 경찰용 암밴드,힘,32,의지,21,냉기와 전기 피해 보너스,23.0%,부품
M. I. 경찰용,M. I. 경찰용 장갑(팔찌) · I,지능,65,의지,43,치명타 확률,8.6%,보호 장갑
M. I. 경찰용,M. I. 경찰용 장갑(팔찌),지능,65,민첩,43,일반 공격 피해 보너스,23.0%,보호 장갑
M. I. 경찰용,M. I. 경찰용 장갑 · I,민첩,65,지능,43,궁극기 피해 보너스,43.1%,보호 장갑
M. I. 경찰용,M. I. 경찰용 장갑,민첩,65,힘,43,배틀 스킬 피해 보너스,34.5%,보호 장갑
M. I. 경찰용,M. I. 경찰용 망토 · II,의지,87,민첩,58,배틀 스킬 피해 보너스,20.7%,방어구
M. I. 경찰용,M. I. 경찰용 망토 · I,지능,87,의지,58,치명타 확률,5.2%,방어구
M. I. 경찰용,M. I. 경찰용 망토,지능,87,민첩,58,일반 공격 피해 보너스,13.8%,방어구
M. I. 경찰용,M. I. 경찰용 방어구 · I,민첩,87,지능,58,궁극기 충전 효율,12.3%,방어구
M. I. 경찰용,M. I. 경찰용 방어구,민첩,87,힘,58,오리지늄 아츠 강도,20,방어구
열 작업용,열 작업용 전력 상자,의지,32,지능,21,오리지늄 아츠 강도,41,부품
열 작업용,열 작업용 에너지 저장함,힘,32,민첩,21,오리지늄 아츠 강도,41,부품
열 작업용,열 작업용 온도 측정기,지능,41,-,-,배틀 스킬 피해 보너스,41.4%,부품
열 작업용,열 작업용 장갑,힘,65,의지,43,오리지늄 아츠 강도,34,보호 장갑
열 작업용,열 작업용 금속 장갑 · I,의지,65,지능,43,열기와 자연 피해 보너스,19.2%,보호 장갑
열 작업용,열 작업용 금속 장갑,지능,65,힘,43,열기와 자연 피해 보너스,19.2%,보호 장갑
열 작업용,열 작업용 보조 골격,지능,87,의지,58,열기와 자연 피해 보너스,11.5%,방어구
열 작업용,열 작업용 강화 골격,힘,87,민첩,58,열기와 자연 피해 보너스,11.5%,방어구
펄스식,펄스식 침입 코어,의지,41,-,-,궁극기 피해 보너스,51.8%,부품
펄스식,펄스식 시험침,지능,32,민첩,21,오리지늄 아츠 강도,41,부품
펄스식,펄스식 교정기,지능,41,-,-,오리지늄 아츠 강도,41,부품
펄스식,펄스식 장갑,의지,65,지능,43,냉기와 전기 피해 보너스,19.2%,보호 장갑
펄스식,펄스식 교란 방어구,지능,87,의지,58,오리지늄 아츠 강도,20,방어구
경량 초자연,경량 초자연 손목시계,힘,32,민첩,21,배틀 스킬 피해 보너스,41.4%,부품
경량 초자연,경량 초자연 안정판 · I,민첩,32,힘,21,물리 피해 보너스,23.0%,부품
경량 초자연,경량 초자연 안정판,민첩,32,힘,21,오리지늄 아츠 강도,41,부품
경량 초자연,경량 초자연 분석 반지,힘,32,의지,21,물리 피해 보너스,23.0%,부품
경량 초자연,경량 초자연 경량 보호 장갑,의지,65,민첩,43,모든 스킬 피해 보너스,23.0%,보호 장갑
경량 초자연,경량 초자연 보호 장갑,민첩,65,힘,43,오리지늄 아츠 강도,34,보호 장갑
경량 초자연,경량 초자연 보호판,힘,87,의지,58,불균형 목표에 주는 피해 보너스,20.7%,방어구
생체 보조,생체 보조 보호 주사기,의지,41,-,-,치유 효율 보너스,20.7%,부품
생체 보조,생체 보조 보호판,의지,32,지능,21,주요 능력치,20.7%,부품
생체 보조,생체 보조 접속기 · II,힘,41,-,-,생명력,41.4%,부품
생체 보조,생체 보조 접속기 · I,힘,32,의지,21,생명력,41.4%,부품
생체 보조,생체 보조 접속기,힘,32,의지,21,모든 피해 감소,17.2%,부품
생체 보조,생체 보조 금속 장갑,의지,65,힘,43,치유 효율 보너스,17.3%,보호 장갑
생체 보조,생체 보조 장갑(팔목),힘,65,의지,43,궁극기 충전 효율,20.5%,보호 장갑
생체 보조,생체 보조 흉갑,의지,87,지능,58,치유 효율 보너스,10.4%,방어구
생체 보조,생체 보조 중갑,힘,87,의지,58,치유 효율 보너스,10.4%,방어구
식양의 숨결,식양의 숨결 보조 어깨,의지,32,지능,21,궁극기 충전 효율,24.6%,부품
식양의 숨결,식양의 숨결 충전 코어 · I,지능,32,의지,21,치유 효율 보너스,20.7%,부품
식양의 숨결,식양의 숨결 충전 코어,지능,32,힘,21,궁극기 충전 효율,24.6%,부품
식양의 숨결,식양의 숨결 보호 장갑 · I,지능,65,의지,43,궁극기 충전 효율,20.5%,보호 장갑
식양의 숨결,식양의 숨결 보호 장갑,지능,65,힘,43,궁극기 충전 효율,20.5%,보호 장갑
식양의 숨결,식양의 숨결 경장갑,의지,87,지능,58,오리지늄 아츠 강도,20,방어구
조류의 물결,탁류 화염 절단기,지능,32,힘,21,일반 공격 피해 보너스,27.6%,부품
조류의 물결,현하 산소 공급 장치,힘,32,의지,21,냉기와 전기 피해 보너스,23.0%,부품
조류의 물결,조류의 물결 금속 장갑,힘,65,의지,43,냉기와 전기 피해 보너스,19.2%,보호 장갑
조류의 물결,낙조 경갑,지능,87,힘,58,궁극기 충전 효율,12.3%,방어구
위기 탈출,위기 탈출 도장 · I,의지,43,-,-,치명타 확률,10.8%,부품
위기 탈출,위기 탈출 도장,지능,43,-,-,궁극기 충전 효율,25.7%,부품
위기 탈출,위기 탈출 식별 패널 · I,민첩,43,-,-,연계 스킬 피해 보너스,43.2%,부품
위기 탈출,위기 탈출 식별 패널,힘,43,-,-,모든 피해 감소,17.8%,부품
위기 탈출,위기 탈출 장갑,힘,86,-,-,모든 스킬 피해 보너스,24.0%,보호 장갑
위기 탈출,위기 탈출 보호 장갑,민첩,86,-,-,궁극기 피해 보너스,45%,보호 장갑
위기 탈출,위기 탈출 방어구,지능,115,-,-,궁극기 충전 효율,12.9%,방어구
위기 탈출,위기 탈출 중장갑,민첩,115,-,-,일반 공격 피해 보너스,14.4%,방어구
